,2D,dist,phot_KN,phot_KN-in-SN,phot_super-KN,predet_KN,predet_KN-in-SN,predet_super-KN
2D,1.0,0.09995414419925124,0.15108173504874195,0.11164761068602212,0.14178377298598865,0.19556488726885196,0.17909678402682325,0.17909678402682325
dist,0.09995414419925124,1.0,0.04711915487978474,0.027465632150728753,0.11578732602480603,-0.10458784467371263,-0.0551216931053674,-0.0551216931053674
phot_KN,0.15108173504874195,0.04711915487978474,1.0,0.2117689968198606,0.7269179871347543,0.36557369955249397,0.32978970235018035,0.32978970235018035
phot_KN-in-SN,0.11164761068602212,0.027465632150728753,0.2117689968198606,1.0,0.5182019572111854,0.365775545105253,0.37492108895559656,0.37492108895559656
phot_super-KN,0.14178377298598865,0.11578732602480603,0.7269179871347543,0.5182019572111854,1.0,0.3427690135975028,0.3012002802285867,0.3012002802285867
predet_KN,0.19556488726885196,-0.10458784467371263,0.36557369955249397,0.365775545105253,0.3427690135975028,1.0,0.8469381260961966,0.8469381260961966
predet_KN-in-SN,0.17909678402682325,-0.0551216931053674,0.32978970235018035,0.37492108895559656,0.3012002802285867,0.8469381260961966,1.0,1.0
predet_super-KN,0.17909678402682325,-0.0551216931053674,0.32978970235018035,0.37492108895559656,0.3012002802285867,0.8469381260961966,1.0,1.0
