,2D,dist,phot_KN,phot_KN-in-SN,phot_super-KN,predet_KN,predet_KN-in-SN,predet_super-KN
2D,1.0,0.1319535997141752,0.08599649597730058,0.1169604356386859,0.19229539595251804,0.12134849680684134,0.11309560286157345,0.11309560286157345
dist,0.1319535997141752,1.0,0.1399123564365922,-0.02432779290934379,0.17413572231163527,-0.07913768157721633,-0.08293280228790902,-0.08293280228790902
phot_KN,0.08599649597730058,0.1399123564365922,1.0,0.18626554079089236,0.7207898527380042,0.27343800550378505,0.2254043748390858,0.2254043748390858
phot_KN-in-SN,0.1169604356386859,-0.02432779290934379,0.18626554079089236,1.0,0.5410022647308502,0.31336280337485106,0.29233988495998753,0.29233988495998753
phot_super-KN,0.19229539595251804,0.17413572231163527,0.7207898527380042,0.5410022647308502,1.0,0.2228788398776962,0.18717750573549205,0.18717750573549205
predet_KN,0.12134849680684134,-0.07913768157721633,0.27343800550378505,0.31336280337485106,0.2228788398776962,1.0,0.8258639609834553,0.8258639609834553
predet_KN-in-SN,0.11309560286157345,-0.08293280228790902,0.2254043748390858,0.29233988495998753,0.18717750573549205,0.8258639609834553,1.0,1.0
predet_super-KN,0.11309560286157345,-0.08293280228790902,0.2254043748390858,0.29233988495998753,0.18717750573549205,0.8258639609834553,1.0,1.0
